PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
1005,121,14.6,13.3,92,9.63,150,4,287.3,314.4,289
1000,141,14.2,12.2,88,9,160,9,287.4,312.7,288.9
940,660,10.7,10.4,98,8.51,150,19,288.9,313,290.4
932,732,10.2,10.2,100,8.45,150,16,289.1,313.1,290.6
925,795,10,10,100,8.4,150,14,289.5,313.4,291
906,967,9.2,9.2,100,8.1,170,13,290.4,313.6,291.8
883,1180,8.1,8.1,100,7.75,160,13,291.5,313.8,292.8
852,1476,6.7,6.7,100,7.27,195,12,292.9,314.1,294.2
850,1495,6.6,6.6,100,7.24,195,13,293.1,314.1,294.3
819,1800,4.6,4.5,99,6.49,200,17,294.1,313.1,295.2
816,1829,4.5,3.6,94,6.11,200,17,294.2,312.2,295.3
807,1920,4,0.9,80,5.09,209,17,294.7,309.8,295.6
802,1970,3.4,-6.6,48,2.92,213,16,294.6,303.5,295.1
790,2093,4.4,-34.7,4,0.26,225,16,296.9,297.8,297
788,2113,4.6,-39.4,2,0.16,225,16,297.3,297.9,297.3
767,2333,4.9,-41.8,2,0.13,225,20,300,300.4,300
750,2516,5.2,-43.8,1,0.11,211,17,302.2,302.6,302.2
737,2657,4.1,-43.3,2,0.11,200,15,302.6,303,302.6
700,3074,1,-42,2,0.14,235,12,303.6,304.1,303.6
682,3280,-0.5,-43.7,2,0.12,255,10,304.2,304.6,304.2
665,3480,-1.9,-45.3,2,0.1,250,10,304.8,305.1,304.8
648,3685,-3.4,-47,2,0.09,240,15,305.3,305.7,305.4
616,4086,-6.3,-50.3,2,0.06,241,19,306.5,306.7,306.5
570,4685,-12.1,-32.1,17,0.46,242,26,306.5,308.2,306.6
561,4807,-13.3,-24.3,39,0.96,243,28,306.5,309.8,306.7
560,4820,-13.3,-22.3,47,1.15,243,28,306.7,310.6,306.9
557,4861,-12.3,-13.4,91,2.46,243,28,308.3,316.3,308.8
556,4875,-12.3,-13.5,91,2.44,243,29,308.5,316.4,308.9
531,5225,-14.5,-15.4,93,2.18,244,33,309.9,317.1,310.3
524,5326,-14.3,-14.6,98,2.37,244,34,311.3,319.2,311.8
504,5620,-15.9,-15.9,100,2.21,245,37,312.9,320.2,313.3
500,5680,-16.5,-16.6,99,2.1,245,38,312.9,319.9,313.3
480,5985,-18.9,-18.9,100,1.8,243,43,313.6,319.7,313.9
475,6063,-19.7,-23.3,73,1.24,243,44,313.5,317.8,313.8
463,6253,-20.5,-20.7,98,1.6,242,47,314.8,320.3,315.1
417,7019,-25.1,-27.5,80,0.96,237,60,318.5,321.9,318.7
400,7320,-27.5,-28.6,90,0.91,235,65,319.2,322.4,319.3
384,7613,-30.1,-30.4,97,0.8,238,69,319.5,322.4,319.6
353,8209,-33.5,-45.5,29,0.19,244,76,322.7,323.4,322.7
343,8411,-35.3,-49.3,23,0.13,246,78,322.9,323.4,322.9
322,8845,-39.1,-51,27,0.11,250,84,323.6,324,323.6
303,9263,-42.7,-52.7,33,0.1,246,79,324.1,324.5,324.2
300,9330,-43.3,-51.3,41,0.11,245,78,324.2,324.7,324.2
285,9672,-46.3,-51.6,55,0.12,235,78,324.8,325.2,324.8
279,9813,-47.5,-51.7,62,0.12,236,84,325,325.4,325
251,10504,-51.9,-52.8,90,0.11,240,111,328.4,328.9,328.4
250,10530,-52.1,-53.1,89,0.11,240,112,328.5,328.9,328.5
241,10767,-53.3,-62.3,33,0.04,240,125,330.1,330.3,330.1
237,10874,-54.2,-62.1,37,0.04,240,131,330.4,330.6,330.4
230,11067,-55.7,-61.7,47,0.04,240,132,330.9,331.1,330.9
222,11292,-56.9,-63.9,41,0.03,240,134,332.4,332.6,332.4
216,11465,-57.6,-67.5,27,0.02,240,135,334,334.1,334
210,11643,-58.3,-71.3,17,0.01,238,131,335.6,335.6,335.6
200,11950,-58.5,-70.5,20,0.01,235,123,340,340,340
184,12469,-60,-73.7,15,0.01,240,118,345.7,345.8,345.7
181,12572,-60.3,-74.3,14,0.01,241,119,346.9,346.9,346.9
160,13327,-64.8,-77.1,17,0.01,245,125,351.7,351.7,351.7
157,13443,-65.5,-77.5,17,0.01,245,120,352.4,352.5,352.4
150,13720,-64.7,-80.7,9,0,245,103,358.4,358.4,358.4
149,13761,-64.7,-80.8,9,0,245,101,359.1,359.1,359.1
116,15286,-65.5,-82.7,7,0,250,73,384.3,384.4,384.3
108,15721,-65.7,-83.3,7,0,245,89,391.9,391.9,391.9
100,16190,-65.9,-83.9,7,0,240,72,400.1,400.2,400.1
70,18360,-63.9,-83.9,5,0.01,250,50,447.3,447.4,447.3
50,20430,-64.5,-84.5,5,0.01,265,31,491.1,491.1,491.1
30,23600,-55.5,-84.5,2,0.01,260,18,592.7,592.8,592.8
20,26200,-52.3,-86.3,1,0.01,235,21,675.3,675.5,675.3
10,30770,-44.7,-84.7,0,0.03,270,34,851.6,852,851.6